z,area_0_to_z,cdf
2.63,0.49573,0.99573
2.64,0.49585,0.99585
2.65,0.49598,0.99598
2.66,0.49609,0.99609
2.67,0.49621,0.99621
2.68,0.49632,0.99632
2.69,0.49643,0.99643
2.70,0.49653,0.99653
2.71,0.49664,0.99664
2.72,0.49674,0.99674
2.73,0.49683,0.99683
2.74,0.49693,0.99693
2.75,0.49702,0.99702
2.76,0.49711,0.99711
2.77,0.49720,0.99720
2.78,0.49728,0.99728
2.79,0.49736,0.99736
2.80,0.49744,0.99744
2.81,0.49752,0.99752
2.82,0.49760,0.99760
2.83,0.49767,0.99767
2.84,0.49774,0.99774
2.85,0.49781,0.99781
2.86,0.49788,0.99788
2.87,0.49795,0.99795
2.88,0.49801,0.99801
2.89,0.49807,0.99807
2.90,0.49813,0.99813
2.91,0.49819,0.99819
2.92,0.49825,0.99825
2.93,0.49831,0.99831
2.94,0.49836,0.99836
2.95,0.49841,0.99841
2.96,0.49846,0.99846
2.97,0.49851,0.99851
2.98,0.49856,0.99856
2.99,0.49861,0.99861
3.00,0.49865,0.99865
3.01,0.49869,0.99869
3.02,0.49874,0.99874
3.03,0.49878,0.99878
3.04,0.49882,0.99882
3.05,0.49886,0.99886
3.06,0.49889,0.99889
3.07,0.49893,0.99893
3.08,0.49896,0.99896
3.09,0.49900,0.99900
3.10,0.49903,0.99903
3.11,0.49906,0.99906
3.12,0.49910,0.99910
3.13,0.49913,0.99913
3.14,0.49916,0.99916
3.15,0.49918,0.99918
3.16,0.49921,0.99921
3.17,0.49924,0.99924
3.18,0.49926,0.99926
3.19,0.49929,0.99929
3.20,0.49931,0.99931
3.21,0.49934,0.99934
3.22,0.49936,0.99936
3.23,0.49938,0.99938
3.24,0.49940,0.99940
3.25,0.49942,0.99942
3.26,0.49944,0.99944
3.27,0.49946,0.99946
3.28,0.49948,0.99948
3.29,0.49950,0.99950
3.30,0.49952,0.99952
3.31,0.49953,0.99953
3.32,0.49955,0.99955
3.33,0.49957,0.99957
3.34,0.49958,0.99958
3.35,0.49960,0.99960
3.36,0.49961,0.99961
3.37,0.49962,0.99962
3.38,0.49964,0.99964
3.39,0.49965,0.99965
3.40,0.49966,0.99966
3.41,0.49968,0.99968
3.42,0.49969,0.99969
3.43,0.49970,0.99970
3.44,0.49971,0.99971
3.45,0.49972,0.99972
3.46,0.49973,0.99973
3.47,0.49974,0.99974
3.48,0.49975,0.99975
3.49,0.49976,0.99976
3.50,0.49977,0.99977
3.51,0.49978,0.99978
3.52,0.49978,0.99978
3.53,0.49979,0.99979
3.54,0.49980,0.99980
3.55,0.49981,0.99981
3.56,0.49981,0.99981
3.57,0.49982,0.99982
3.58,0.49983,0.99983
3.59,0.49983,0.99983
3.60,0.49984,0.99984
3.61,0.49985,0.99985
3.62,0.49985,0.99985
3.63,0.49986,0.99986
3.64,0.49986,0.99986
3.65,0.49987,0.99987
3.66,0.49987,0.99987
3.67,0.49988,0.99988
3.68,0.49988,0.99988
3.69,0.49989,0.99989
3.70,0.49989,0.99989
3.71,0.49990,0.99990
3.72,0.49990,0.99990
3.73,0.49990,0.99990
3.74,0.49991,0.99991
3.75,0.49991,0.99991
3.76,0.49992,0.99992
3.77,0.49992,0.99992
3.78,0.49992,0.99992
3.79,0.49992,0.99992
3.80,0.49993,0.99993
3.81,0.49993,0.99993
3.82,0.49993,0.99993
3.83,0.49994,0.99994
3.84,0.49994,0.99994
3.85,0.49994,0.99994
3.86,0.49994,0.99994
3.87,0.49995,0.99995
3.88,0.49995,0.99995
3.89,0.49995,0.99995
